ms,Beam,mag12401265,1,0
12485829,0,0
12485944,0,0
12486058,0,0
12486172,0,0
12486286,0,0
12486400,0,0
12486514,0,0
12486632,0,0
12486747,0,0
12486861,0,0
12486974,0,0
12487087,0,0
12487201,0,0
12487318,0,0
12487431,0,0
12487545,0,0
12487659,0,0
12487773,0,0
12487887,0,0
12488001,0,0
12488115,0,0
12488229,0,0
12488342,0,0
12488454,0,0
12488568,0,0
12488681,0,0
12488794,0,0
12488907,0,0
12489021,0,0
12489135,0,0
12489249,0,0
12489363,0,0
12489486,1,1
12489601,1,1
12489715,1,1
12489828,1,1
12489959,1,0
12490074,1,0
12490188,1,0
12490300,1,0
12490414,1,0
12490529,1,0
12490642,1,0
12490757,1,0
12490872,1,0
12490986,1,0
12491101,1,0
12491215,1,0
12491329,1,0
12491443,1,0
12491557,1,0
12491671,1,0
12491787,1,0
12491901,1,0
12492015,1,0
12492129,1,0
12492243,1,0
12492357,1,0
12492471,1,0
12492585,1,0
12492699,0,0
12492857,0,0
12492972,0,0
12493087,0,0
12493201,0,0
12493315,0,0
12493429,0,0
12493543,0,0
12493664,0,1
12493778,0,1
12493892,0,1
12494006,0,1
12494120,0,0
12494239,0,0
12494354,0,0
12494468,0,0
12494582,0,0
12494696,0,0
12494809,0,0
12494924,0,0
12495038,0,0
12495152,0,0
12495267,0,0
12495380,0,0
12495494,0,0
12495608,0,0
12495723,0,0
12495836,0,0
12495951,0,0
12496065,0,0
12496178,0,0
12496294,0,0
12496410,0,0
12496524,0,0
12496638,0,0
12496752,0,0
12496866,0,0
12496980,0,0
12497094,0,0
12497207,0,0
12497321,0,0
12497436,0,0
12497548,0,0
12497662,0,0
12497776,0,0
12497890,0,0
12498004,0,0
12498118,0,0
12498232,0,0
12498347,0,0
12498461,0,0
12498575,0,0
12498689,0,0
12498803,0,0
12498917,0,0
12499032,0,0
12499147,0,0
12499261,0,0
12499374,0,0
12499488,0,0
12499602,0,0
12499717,0,0
12499830,0,0
12499969,0,0
12500084,0,0
12500198,0,0
12500313,0,0
12500427,0,0
12500541,0,0
12500655,0,0
12500769,0,0
12500885,0,0
12500999,0,0
12501114,0,0
12501228,0,0
12501342,0,0
12501456,0,0
12501570,0,0
