entity_id,state,last_changed
sensor.exit_beamsensor_avg_high_ms,2562,2024-12-28T23:49:50.245Z
sensor.exit_beamsensor_avg_high_ms,2771,2024-12-28T23:50:06.210Z
sensor.exit_beamsensor_avg_high_ms,2852,2024-12-28T23:50:14.232Z
sensor.exit_beamsensor_avg_high_ms,3036,2024-12-28T23:50:21.096Z
sensor.exit_beamsensor_avg_high_ms,2912,2024-12-28T23:50:30.595Z
sensor.exit_beamsensor_avg_high_ms,2879,2024-12-28T23:50:36.961Z
sensor.exit_beamsensor_avg_high_ms,3233,2024-12-28T23:50:54.654Z
sensor.exit_beamsensor_avg_high_ms,3247,2024-12-28T23:51:01.159Z
sensor.exit_beamsensor_avg_high_ms,3235,2024-12-28T23:51:08.852Z
sensor.exit_beamsensor_avg_high_ms,3203,2024-12-28T23:51:16.471Z
sensor.exit_beamsensor_avg_high_ms,3290,2024-12-28T23:51:24.712Z
sensor.exit_beamsensor_avg_high_ms,3267,2024-12-28T23:51:33.774Z
sensor.exit_beamsensor_avg_high_ms,3128,2024-12-28T23:51:46.277Z
sensor.exit_beamsensor_avg_high_ms,3021,2024-12-28T23:51:56.156Z
sensor.exit_beamsensor_avg_high_ms,2972,2024-12-28T23:52:11.823Z
sensor.exit_beamsensor_avg_high_ms,3099,2024-12-28T23:52:20.552Z
sensor.exit_beamsensor_avg_high_ms,2916,2024-12-28T23:52:24.926Z
sensor.exit_beamsensor_avg_high_ms,3594,2024-12-28T23:53:03.244Z
sensor.exit_beamsensor_avg_high_ms,4109,2024-12-28T23:53:19.098Z
sensor.exit_beamsensor_avg_high_ms,4112,2024-12-28T23:53:29.473Z
sensor.exit_beamsensor_avg_high_ms,4099,2024-12-28T23:53:44.976Z
sensor.exit_beamsensor_avg_high_ms,4065,2024-12-28T23:54:02.167Z
sensor.exit_beamsensor_avg_high_ms,4178,2024-12-28T23:54:13.066Z
sensor.exit_beamsensor_avg_high_ms,4151,2024-12-28T23:54:23.460Z
sensor.exit_beamsensor_avg_high_ms,4219,2024-12-28T23:54:32.209Z
sensor.exit_beamsensor_avg_high_ms,4316,2024-12-28T23:54:58.701Z
sensor.exit_beamsensor_avg_high_ms,4688,2024-12-28T23:55:11.159Z
sensor.exit_beamsensor_avg_high_ms,4942,2024-12-28T23:55:21.303Z
sensor.exit_beamsensor_avg_high_ms,3948,2024-12-28T23:55:34.844Z
sensor.exit_beamsensor_avg_high_ms,3477,2024-12-28T23:55:46.530Z
sensor.exit_beamsensor_avg_high_ms,3400,2024-12-28T23:56:10.577Z
sensor.exit_beamsensor_avg_high_ms,3411,2024-12-28T23:56:25.095Z
sensor.exit_beamsensor_avg_high_ms,3290,2024-12-28T23:56:32.660Z
sensor.exit_beamsensor_avg_high_ms,3179,2024-12-28T23:56:48.370Z
sensor.exit_beamsensor_avg_high_ms,3140,2024-12-28T23:56:53.467Z
sensor.exit_beamsensor_avg_high_ms,3203,2024-12-28T23:57:11.638Z
sensor.exit_beamsensor_avg_high_ms,3065,2024-12-28T23:57:16.406Z
sensor.exit_beamsensor_avg_high_ms,2549,2024-12-28T23:57:23.905Z
sensor.exit_beamsensor_avg_high_ms,2484,2024-12-28T23:57:35.901Z
sensor.exit_beamsensor_avg_high_ms,2536,2024-12-28T23:57:41.807Z
sensor.exit_beamsensor_avg_high_ms,2463,2024-12-28T23:57:53.326Z
sensor.exit_beamsensor_avg_high_ms,2519,2024-12-28T23:58:08.302Z
sensor.exit_beamsensor_avg_high_ms,2557,2024-12-28T23:58:21.860Z
sensor.exit_beamsensor_avg_high_ms,2590,2024-12-28T23:58:30.567Z
sensor.exit_beamsensor_avg_high_ms,2597,2024-12-28T23:58:38.470Z
sensor.exit_beamsensor_avg_high_ms,3905,2024-12-28T23:59:16.096Z
sensor.exit_beamsensor_avg_high_ms,3931,2024-12-28T23:59:32.294Z
sensor.exit_beamsensor_avg_high_ms,3990,2024-12-28T23:59:39.403Z
sensor.exit_beamsensor_avg_high_ms,4015,2024-12-28T23:59:49.661Z
sensor.exit_beamsensor_avg_high_ms,4017,2024-12-29T00:00:04.901Z
sensor.exit_beamsensor_avg_high_ms,3976,2024-12-29T00:00:17.936Z
sensor.exit_beamsensor_avg_high_ms,3984,2024-12-29T00:00:29.432Z
sensor.exit_beamsensor_avg_high_ms,3977,2024-12-29T00:00:41.047Z
sensor.exit_beamsensor_avg_high_ms,3967,2024-12-29T00:00:47.567Z
sensor.exit_beamsensor_avg_high_ms,3892,2024-12-29T00:00:56.907Z
sensor.exit_beamsensor_avg_high_ms,3853,2024-12-29T00:01:12.192Z
sensor.exit_beamsensor_avg_high_ms,2662,2024-12-29T00:01:30.084Z
sensor.exit_beamsensor_avg_high_ms,2655,2024-12-29T00:01:39.967Z
sensor.exit_beamsensor_avg_high_ms,2550,2024-12-29T00:01:50.170Z
sensor.exit_beamsensor_avg_high_ms,2537,2024-12-29T00:02:01.244Z
sensor.exit_beamsensor_avg_high_ms,2530,2024-12-29T00:02:12.921Z
sensor.exit_beamsensor_avg_high_ms,2508,2024-12-29T00:02:22.536Z
sensor.exit_beamsensor_avg_high_ms,2590,2024-12-29T00:02:30.884Z
sensor.exit_beamsensor_avg_high_ms,2634,2024-12-29T00:02:36.855Z
sensor.exit_beamsensor_avg_high_ms,2556,2024-12-29T00:02:44.118Z
sensor.exit_beamsensor_avg_high_ms,2696,2024-12-29T00:02:50.824Z
sensor.exit_beamsensor_avg_high_ms,2655,2024-12-29T00:02:59.412Z
sensor.exit_beamsensor_avg_high_ms,2477,2024-12-29T00:03:10.309Z
sensor.exit_beamsensor_avg_high_ms,2367,2024-12-29T00:03:17.811Z
sensor.exit_beamsensor_avg_high_ms,2378,2024-12-29T00:03:23.384Z
sensor.exit_beamsensor_avg_high_ms,2655,2024-12-29T00:03:52.816Z
sensor.exit_beamsensor_avg_high_ms,3429,2024-12-29T00:04:08.620Z
sensor.exit_beamsensor_avg_high_ms,3850,2024-12-29T00:04:20.104Z
sensor.exit_beamsensor_avg_high_ms,3878,2024-12-29T00:04:28.587Z
sensor.exit_beamsensor_avg_high_ms,4151,2024-12-29T00:04:40.173Z
sensor.exit_beamsensor_avg_high_ms,4191,2024-12-29T00:04:46.865Z
sensor.exit_beamsensor_avg_high_ms,4046,2024-12-29T00:04:51.016Z
sensor.exit_beamsensor_avg_high_ms,4163,2024-12-29T00:05:26.870Z
sensor.exit_beamsensor_avg_high_ms,4196,2024-12-29T00:05:38.030Z
sensor.exit_beamsensor_avg_high_ms,4149,2024-12-29T00:05:46.731Z
sensor.exit_beamsensor_avg_high_ms,4305,2024-12-29T00:05:57.676Z
sensor.exit_beamsensor_avg_high_ms,4045,2024-12-29T00:06:10.738Z
sensor.exit_beamsensor_avg_high_ms,3341,2024-12-29T00:06:28.917Z
