entity_id,state,last_changed
sensor.exit_beamsensor_min_ms,2907,2024-12-29T00:24:43.238Z
sensor.exit_beamsensor_min_ms,3031,2024-12-29T00:24:54.683Z
sensor.exit_beamsensor_min_ms,2772,2024-12-29T00:25:20.715Z
sensor.exit_beamsensor_min_ms,2976,2024-12-29T00:26:04.435Z
sensor.exit_beamsensor_min_ms,3086,2024-12-29T00:26:14.668Z
sensor.exit_beamsensor_min_ms,3095,2024-12-29T00:26:58.125Z
sensor.exit_beamsensor_min_ms,2764,2024-12-29T00:27:11.886Z
sensor.exit_beamsensor_min_ms,2582,2024-12-29T00:27:38.685Z
sensor.exit_beamsensor_min_ms,2412,2024-12-29T00:27:47.692Z
sensor.exit_beamsensor_min_ms,2583,2024-12-29T00:28:15.073Z
sensor.exit_beamsensor_min_ms,2004,2024-12-29T00:28:23.200Z
sensor.exit_beamsensor_min_ms,1705,2024-12-29T00:28:49.848Z
sensor.exit_beamsensor_min_ms,1855,2024-12-29T00:29:16.793Z
sensor.exit_beamsensor_min_ms,2066,2024-12-29T00:29:34.770Z
sensor.exit_beamsensor_min_ms,2938,2024-12-29T00:30:04.181Z
sensor.exit_beamsensor_min_ms,2977,2024-12-29T00:30:14.744Z
sensor.exit_beamsensor_min_ms,3596,2024-12-29T00:30:24.231Z
sensor.exit_beamsensor_min_ms,2913,2024-12-29T00:30:32.508Z
sensor.exit_beamsensor_min_ms,2440,2024-12-29T00:30:38.019Z
sensor.exit_beamsensor_min_ms,2056,2024-12-29T00:30:45.759Z
sensor.exit_beamsensor_min_ms,2188,2024-12-29T00:31:17.919Z
sensor.exit_beamsensor_min_ms,2159,2024-12-29T00:31:26.724Z
sensor.exit_beamsensor_min_ms,1595,2024-12-29T00:31:36.835Z
sensor.exit_beamsensor_min_ms,1631,2024-12-29T00:32:09.145Z
sensor.exit_beamsensor_min_ms,2093,2024-12-29T00:32:48.196Z
sensor.exit_beamsensor_min_ms,2534,2024-12-29T00:33:20.999Z
sensor.exit_beamsensor_min_ms,2409,2024-12-29T00:33:26.788Z
sensor.exit_beamsensor_min_ms,2132,2024-12-29T00:33:46.535Z
sensor.exit_beamsensor_min_ms,1953,2024-12-29T00:34:19.863Z
sensor.exit_beamsensor_min_ms,2189,2024-12-29T00:34:53.021Z
sensor.exit_beamsensor_min_ms,1746,2024-12-29T00:35:38.175Z
sensor.exit_beamsensor_min_ms,2347,2024-12-29T00:36:04.612Z
sensor.exit_beamsensor_min_ms,2214,2024-12-29T00:36:21.882Z
sensor.exit_beamsensor_min_ms,2437,2024-12-29T00:36:50.575Z
sensor.exit_beamsensor_min_ms,2539,2024-12-29T00:37:01.280Z
sensor.exit_beamsensor_min_ms,2555,2024-12-29T00:37:30.355Z
sensor.exit_beamsensor_min_ms,2157,2024-12-29T00:37:50.179Z
sensor.exit_beamsensor_min_ms,1871,2024-12-29T00:37:58.824Z
sensor.exit_beamsensor_min_ms,2499,2024-12-29T00:38:35.465Z
sensor.exit_beamsensor_min_ms,3219,2024-12-29T00:38:43.936Z
sensor.exit_beamsensor_min_ms,2995,2024-12-29T00:38:59.516Z
sensor.exit_beamsensor_min_ms,2566,2024-12-29T00:39:23.656Z
sensor.exit_beamsensor_min_ms,1935,2024-12-29T00:39:38.954Z
sensor.exit_beamsensor_min_ms,2187,2024-12-29T00:40:23.546Z
sensor.exit_beamsensor_min_ms,2724,2024-12-29T00:40:45.570Z
